period_index,date,YrSold,MoSold,n_available,median_interval_width,empirical_coverage,is_crash,mean_predicted_arv,mean_actual_price,prediction_bias_pct,conservative_flip__buy_all_n_bought,conservative_flip__buy_all_n_profitable,conservative_flip__buy_all_realized_profit,conservative_flip__naive_point_n_bought,conservative_flip__naive_point_n_profitable,conservative_flip__naive_point_realized_profit,conservative_flip__uncertainty_aware_n_bought,conservative_flip__uncertainty_aware_n_profitable,conservative_flip__uncertainty_aware_realized_profit,ibuyer__buy_all_n_bought,ibuyer__buy_all_n_profitable,ibuyer__buy_all_realized_profit,ibuyer__naive_point_n_bought,ibuyer__naive_point_n_profitable,ibuyer__naive_point_realized_profit,ibuyer__uncertainty_aware_n_bought,ibuyer__uncertainty_aware_n_profitable,ibuyer__uncertainty_aware_realized_profit,conservative_flip__buy_all_cum_profit,conservative_flip__naive_point_cum_profit,conservative_flip__uncertainty_aware_cum_profit,ibuyer__buy_all_cum_profit,ibuyer__naive_point_cum_profit,ibuyer__uncertainty_aware_cum_profit
0,2007-01,2007,1,31,86550.8266285543,0.9032258064516129,False,190577.5597140338,199389.5806451613,-0.04419499204830368,31,30,1665074.9139923693,30,30,1669054.2462260027,10,10,349436.0453469279,31,21,697360.1812764487,10,9,569759.4100705963,1,1,28540.647016698178,1665074.9139923693,1669054.2462260027,349436.0453469279,697360.1812764487,569759.4100705963,28540.647016698178
1,2007-02,2007,2,28,73855.04236890146,0.8928571428571429,False,178028.837984591,165955.85714285713,0.07274814549836149,28,27,836377.1748482024,28,27,836377.1748482024,5,5,133282.0801867183,28,16,19865.712315674245,7,3,-129522.35821987358,0,0,0.0,2501452.0888405717,2505431.421074205,482718.1255336462,717225.893592123,440237.0518507227,28540.647016698178
2,2007-03,2007,3,53,68124.04921932095,0.9056603773584906,False,178120.5193875151,176727.01886792452,0.007885045130716486,53,52,2150299.7739497237,52,51,2127953.247113236,17,17,518818.20214495674,53,41,603964.2969389497,11,7,167927.39116417462,3,3,10150.57827853309,4651751.862790296,4633384.668187441,1001536.3276786029,1321190.1905310727,608164.4430148973,38691.22529523127
3,2007-04,2007,4,50,63985.73082417648,0.92,False,167397.49763156066,168808.06,-0.00835601314557691,50,50,2042470.6405217529,50,50,2042470.6405217529,19,19,624242.8276621383,50,45,671485.1349192708,11,9,204970.55705055143,1,1,10374.668263215444,6694222.5033120485,6675855.308709194,1625779.1553407412,1992675.3254503435,813135.0000654487,49065.89355844671
4,2007-05,2007,5,89,71841.32487395384,0.9213483146067416,False,172718.24779957876,174868.93258426967,-0.012298838638215445,89,89,3813036.2529981784,89,89,3813036.2529981784,35,35,1267721.5654684023,89,78,1295115.0929263579,18,16,430639.07976838574,6,5,72888.76332864544,10507258.756310226,10488891.561707372,2893500.7208091435,3287790.4183767014,1243774.0798338344,121954.65688709215
5,2007-06,2007,6,106,73854.10548516261,0.9339622641509434,False,182656.1875894341,187196.40566037735,-0.024253767346261907,106,106,5042845.681903479,106,106,5042845.681903479,37,37,1396126.0807530293,106,94,1871422.828025653,29,26,829363.9965805064,10,9,169869.62214881057,15550104.438213706,15531737.243610851,4289626.801562173,5159213.246402355,2073138.0764143409,291824.2790359027
6,2007-07,2007,7,108,72604.36412113285,0.9351851851851852,False,176656.8151626044,182968.12962962964,-0.03449406451167644,108,108,5176619.292888164,107,107,5160938.865384416,37,37,1246510.6177558403,108,90,2051489.5699356268,25,21,905137.792282034,9,8,110956.31708360398,20726723.73110187,20692676.108995266,5536137.419318014,7210702.816337982,2978275.868696375,402780.5961195067
7,2007-08,2007,8,75,79059.22285195888,0.8666666666666667,False,190416.15037560774,190197.26666666666,0.0011508246820638546,75,72,3348237.098966409,75,72,3348237.098966409,27,27,932994.0127188037,75,60,1008974.6916020677,23,19,592594.9480271932,5,4,52380.848345330116,24074960.83006828,24040913.207961675,6469131.432036817,8219677.50794005,3570870.816723568,455161.4444648368
8,2007-09,2007,9,40,85823.1486217922,0.8,False,184400.81816631052,188501.275,-0.02175293951560526,40,36,1901811.5837468903,40,36,1901811.5837468903,8,8,308616.9655361719,40,31,693617.4231212233,13,11,477259.31452782004,5,5,95545.18124866842,25976772.41381517,25942724.791708566,6777748.397572989,8913294.931061273,4048130.1312513878,550706.6257135052
9,2007-10,2007,10,41,70458.28973393896,0.8536585365853658,False,212149.92616071453,206611.21951219512,0.026807385686005734,41,37,1822196.4541527438,41,37,1822196.4541527438,16,16,518045.1767030372,41,32,397439.9800426167,13,8,34036.840371543665,3,2,10261.733829302568,27798968.867967915,27764921.24586131,7295793.574276026,9310734.91110389,4082166.9716229313,560968.3595428078
